budget,genres,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,director,release_year,Year,budget_adjusted,revenue_adjusted
200000000.0,Action Drama Horror Science-Fiction Thriller,72190,en,81.834855,2013-06-20,531865000.0,116.0,World War Z,6.7,5560,Marc Forster,2013,2013,200000000.0,531865000.0
15000000.0,Action Adventure Drama Horror Science-Fiction,315011,ja,9.476999,2016-07-29,77000000.0,120.0,Shin Godzilla,6.5,143,Hideaki Anno,2016,2016,14559387.851187674,74738190.96943006
150000000.0,Drama Horror Action Thriller Science-Fiction,6479,en,70.867401,2007-12-14,585349010.0,101.0,I Am Legend,6.9,4853,Francis Lawrence,2007,2007,168530977.80478626,657662940.082424
110000000.0,Thriller Action Fantasy Horror,1250,en,46.834704,2007-02-16,228738393.0,114.0,Ghost Rider,5.2,1712,Mark Steven Johnson,2007,2007,123589383.72350992,256996700.2252365
100000000.0,Action Fantasy Horror Mystery,9946,en,20.652943,1999-11-24,211989043.0,121.0,End of Days,5.5,482,Peter Hyams,1999,1999,139830132.05282113,296424558.76441175
100000000.0,Drama Horror Mystery Thriller,2655,en,15.835672,2000-07-21,155464351.0,130.0,What Lies Beneath,6.3,488,Robert Zemeckis,2000,2000,135282810.68524972,210316543.64638212
8000000.0,Horror Comedy Fantasy,16281,en,13.661289,1982-11-12,21028755.0,120.0,Creepshow,6.7,226,George A. Romero,1982,1982,19312497.409326427,50764722.05735751
80000000.0,Horror Thriller Fantasy Mystery,11618,en,19.375768,1999-07-23,91188905.0,113.0,The Haunting,5.2,369,Jan de Bont,1999,1999,111864105.6422569,127509566.2790216
0.0,Mystery Drama Horror,330770,fr,3.300061,2015-09-14,0.0,81.0,Evolution,6.4,47,Lucile Hadzihalilovic,2015,2015,0.0,0.0
78000000.0,Crime Thriller Horror,9533,en,10.083905,2002-09-29,209196298.0,124.0,Red Dragon,6.7,1115,Brett Ratner,2002,2002,101004146.74819344,270893507.4662924
80000000.0,Horror Mystery Thriller,11026,en,15.761384,2004-08-20,78000586.0,114.0,Exorcist: The Beginning,4.7,183,Renny Harlin,2004,2004,98658337.74483854,96192601.97354156
70000000.0,Horror Action Drama Fantasy War,49017,en,64.457947,2014-10-01,215529201.0,92.0,Dracula Untold,6.2,2389,Gary Shore,2014,2014,68882594.95809679,212088723.6303604
60000000.0,Adventure Action Horror,8814,en,29.261348,2005-10-20,55987321.0,105.0,Doom,5.0,609,Andrzej Bartkowiak,2005,2005,71568970.81413211,66782582.376840755
70000000.0,Fantasy Action Horror,52520,en,58.401204,2012-01-19,160112671.0,88.0,Underworld: Awakening,6.1,1862,M\u00e5ns M\u00e5rlind,2012,2012,71025331.67243047,162457936.61048198
69000000.0,Action Fantasy Horror,72331,en,38.634767,2012-06-20,112265139.0,94.0,Abraham Lincoln: Vampire Hunter,5.5,1269,Timur Bekmambetov,2012,2012,70010684.07711004,113909553.32466441
68000000.0,Drama Horror Science-Fiction Thriller,6171,en,26.792794,2003-03-21,75715436.0,136.0,Dreamcatcher,5.3,567,Lawrence Kasdan,2003,2003,86092804.34782608,95861091.43615216
65000000.0,Science-Fiction Action Horror Thriller Adventure,36648,en,49.660055,2004-12-08,128905366.0,123.0,Blade: Trinity,5.7,1252,David S. Goyer,2004,2004,80159899.4176813,158969864.19937533
65000000.0,Action Horror Science-Fiction,71679,en,6.227675,2012-09-12,240159255.0,95.0,Resident Evil: Retribution,5.6,1600,Paul W.S. Anderson,2012,2012,65952093.69582829,243677010.57969722
65000000.0,Horror Thriller,100241,en,31.324734,2014-01-22,71154592.0,92.0,"I, Frankenstein",5.0,687,Stuart Beattie,2014,2014,63962409.60394701,70018756.28778048
70000000.0,Science-Fiction Horror Action,8078,en,37.44963,1997-11-12,162000000.0,109.0,Alien: Resurrection,5.9,1365,Jean-Pierre Jeunet,1997,1997,101601183.80062304,235134168.22429904
60000000.0,Horror Mystery Thriller,11015,en,12.621769,1997-01-10,33956608.0,110.0,The Relic,5.8,130,Peter Hyams,1997,1997,87086728.9719626,49286165.29505295
