budget,genres,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,director
200000000.0,Action Drama Horror Science-Fiction Thriller,72190,en,81.834855,20-06-2013,531865000.0,116.0,World War Z,6.7,5560,Marc Forster
15000000.0,Action Adventure Drama Horror Science-Fiction,315011,ja,9.476999,29-07-2016,77000000.0,120.0,Shin Godzilla,6.5,143,Hideaki Anno
150000000.0,Drama Horror Action Thriller Science-Fiction,6479,en,70.867401,14-12-2007,585349010.0,101.0,I Am Legend,6.9,4853,Francis Lawrence
110000000.0,Thriller Action Fantasy Horror,1250,en,46.834704,16-02-2007,228738393.0,114.0,Ghost Rider,5.2,1712,Mark Steven Johnson
100000000.0,Action Fantasy Horror Mystery,9946,en,20.652943,24-11-1999,211989043.0,121.0,End of Days,5.5,482,Peter Hyams
100000000.0,Drama Horror Mystery Thriller,2655,en,15.835672,21-07-2000,155464351.0,130.0,What Lies Beneath,6.3,488,Robert Zemeckis
8000000.0,Horror Comedy Fantasy,16281,en,13.661289,12-11-1982,21028755.0,120.0,Creepshow,6.7,226,George A. Romero
80000000.0,Horror Thriller Fantasy Mystery,11618,en,19.375768,23-07-1999,91188905.0,113.0,The Haunting,5.2,369,Jan de Bont
0.0,Mystery Drama Horror,330770,fr,3.300061,14-09-2015,0.0,81.0,Evolution,6.4,47,Lucile Hadzihalilovic
78000000.0,Crime Thriller Horror,9533,en,10.083905,29-09-2002,209196298.0,124.0,Red Dragon,6.7,1115,Brett Ratner
80000000.0,Horror Mystery Thriller,11026,en,15.761384,20-08-2004,78000586.0,114.0,Exorcist: The Beginning,4.7,183,Renny Harlin
70000000.0,Horror Action Drama Fantasy War,49017,en,64.457947,01-10-2014,215529201.0,92.0,Dracula Untold,6.2,2389,Gary Shore
60000000.0,Adventure Action Horror,8814,en,29.261348,20-10-2005,55987321.0,105.0,Doom,5.0,609,Andrzej Bartkowiak
70000000.0,Fantasy Action Horror,52520,en,58.401204,19-01-2012,160112671.0,88.0,Underworld: Awakening,6.1,1862,M\u00e5ns M\u00e5rlind
69000000.0,Action Fantasy Horror,72331,en,38.634767,20-06-2012,112265139.0,94.0,Abraham Lincoln: Vampire Hunter,5.5,1269,Timur Bekmambetov
68000000.0,Drama Horror Science-Fiction Thriller,6171,en,26.792794,21-03-2003,75715436.0,136.0,Dreamcatcher,5.3,567,Lawrence Kasdan
65000000.0,Science-Fiction Action Horror Thriller Adventure,36648,en,49.660055,08-12-2004,128905366.0,123.0,Blade: Trinity,5.7,1252,David S. Goyer
65000000.0,Action Horror Science-Fiction,71679,en,6.227675,12-09-2012,240159255.0,95.0,Resident Evil: Retribution,5.6,1600,Paul W.S. Anderson
65000000.0,Horror Thriller,100241,en,31.324734,22-01-2014,71154592.0,92.0,"I, Frankenstein",5.0,687,Stuart Beattie
70000000.0,Science-Fiction Horror Action,8078,en,37.44963,12-11-1997,162000000.0,109.0,Alien: Resurrection,5.9,1365,Jean-Pierre Jeunet
60000000.0,Horror Mystery Thriller,11015,en,12.621769,10-01-1997,33956608.0,110.0,The Relic,5.8,130,Peter Hyams
60000000.0,Action Science-Fiction Fantasy Thriller Horror,38321,en,28.350927,05-05-2011,78309131.0,87.0,Priest,5.4,692,Scott Stewart
60000000.0,Horror Science-Fiction Mystery,8413,en,29.787135,15-08-1997,26673242.0,96.0,Event Horizon,6.5,742,Paul W.S. Anderson
90000000.0,Horror Science-Fiction Thriller,10384,en,5.762037,14-01-2000,14828081.0,91.0,Supernova,4.9,109,Walter Hill
30000000.0,Drama Horror Thriller,9009,en,14.376463,27-06-2005,25473093.0,105.0,Dark Water,5.3,274,Walter Salles
58000000.0,Adventure Horror Comedy,257445,en,45.351617,05-08-2015,158162788.0,103.0,Goosebumps,6.2,995,Rob Letterman
60000000.0,Action Adventure Horror Science-Fiction,35791,en,2.143764,09-09-2010,300228084.0,97.0,Resident Evil: Afterlife,5.8,1363,Paul W.S. Anderson
57000000.0,Drama Horror Mystery Thriller,1813,en,33.8473,17-10-1997,152944660.0,144.0,The Devil's Advocate,7.2,1374,Taylor Hackford
50000000.0,Science-Fiction Action Horror,8077,en,45.856409,22-05-1992,159773545.0,114.0,Alien³,6.2,1633,David Fincher
54000000.0,Fantasy Horror Action Thriller,36586,en,67.169587,22-03-2002,155010032.0,117.0,Blade II,6.2,1528,Guillermo del Toro
67000000.0,Thriller Action Horror,285923,en,16.637642,06-04-2007,25037897.0,191.0,Grindhouse,6.8,459,Robert Rodriguez
60000000.0,Horror Romance,628,en,50.163785,11-11-1994,223664608.0,123.0,Interview with the Vampire,7.2,1516,Neil Jordan
50000000.0,Drama Horror Thriller,10320,en,32.233713,17-03-2005,161451538.0,110.0,The Ring Two,5.4,632,Hideo Nakata
50000000.0,Fantasy Horror Action,60304,en,53.02787,17-01-2013,224803475.0,88.0,Hansel & Gretel: Witch Hunters,5.7,3239,Tommy Wirkola
50000000.0,Horror Mystery,588,en,32.927994,21-04-2006,97607453.0,125.0,Silent Hill,6.3,1067,Christophe Gans
50000000.0,Comedy Horror Fantasy,928,en,33.98637,15-06-1990,41482207.0,106.0,Gremlins 2: The New Batch,6.2,652,Joe Dante
45000000.0,Horror Action Science-Fiction,1577,en,29.880122,10-09-2004,129394835.0,94.0,Resident Evil: Apocalypse,6.1,1267,Alexander Witt
0.0,Horror,53953,de,0.716764,08-08-2006,0.0,0.0,The Tooth Fairy,4.3,13,Chuck Bowman
47000000.0,Drama Horror Thriller Romance,9095,en,6.067212,23-02-1996,12379402.0,104.0,Mary Reilly,5.7,74,Stephen Frears
45000000.0,Horror Action,36647,en,43.815492,21-08-1998,131183530.0,120.0,Blade,6.5,1905,Stephen Norrington
45000000.0,Adventure Horror Thriller,9360,en,27.684779,11-04-1997,136885767.0,89.0,Anaconda,4.7,610,Luis Llosa
35000000.0,Horror Mystery Thriller,768,en,26.134678,19-10-2001,74558115.0,122.0,From Hell,6.6,741,Albert Hughes
45000000.0,Horror Action Science-Fiction,7737,en,12.06538,20-09-2007,148412065.0,94.0,Resident Evil: Extinction,6.1,1292,Russell Mulcahy
45000000.0,Adventure Action Horror Science-Fiction,9457,en,6.513856,30-01-1998,11203026.0,106.0,Deep Rising,6.0,154,Stephen Sommers
32000000.0,Drama Horror Mystery,2637,en,14.733513,25-01-2002,55157539.0,119.0,The Mothman Prophecies,6.1,305,Mark Pellington
42000000.0,Fantasy Thriller Horror,49730,en,45.151657,11-03-2011,89162162.0,100.0,Red Riding Hood,5.6,922,Catherine Hardwicke
40000000.0,Horror,259693,en,68.794673,13-05-2016,320170008.0,134.0,The Conjuring 2,7.0,1949,James Wan
40000000.0,Horror Mystery,4234,en,24.992057,03-02-2000,161834276.0,116.0,Scream 3,5.7,736,Wes Craven
40000000.0,Romance Horror,6114,en,45.022964,13-11-1992,215862692.0,128.0,Dracula,7.1,1056,Francis Ford Coppola
40000000.0,Horror Mystery,19912,en,32.478077,26-08-2009,186167139.0,82.0,The Final Destination,5.4,831,David R. Ellis
40000000.0,Action Adventure Fantasy Horror Science-Fiction,10336,en,19.833664,31-07-1997,87840042.0,96.0,Spawn,5.0,336,Mark A.Z. Dipp\u00e9
43000000.0,Drama Horror Mystery Thriller,9913,en,29.105407,29-07-2005,91974818.0,104.0,The Skeleton Key,6.4,573,Iain Softley
40000000.0,Horror Thriller,4970,en,27.303608,21-11-2003,141591324.0,98.0,Gothika,5.8,629,Mathieu Kassovitz
40000000.0,Fantasy Action Science-Fiction Thriller Horror,440,en,39.381913,25-12-2007,41797066.0,94.0,Aliens vs Predator: Requiem,4.9,740,Colin Strause
40000000.0,Horror Mystery,41446,en,35.21926,11-04-2011,97138686.0,111.0,Scream 4,6.1,902,Wes Craven
47000000.0,Horror Mystery,55779,en,38.555482,12-08-2011,157887643.0,92.0,Final Destination 5,5.9,866,Steven Quale
40000000.0,Drama Horror Thriller Crime,10391,en,3.321949,11-08-2000,0.0,107.0,Bless the Child,4.9,71,Chuck Russell
40000000.0,Fantasy Horror Science-Fiction,9306,en,13.210898,23-08-1996,49627779.0,96.0,The Island of Dr. Moreau,4.6,147,John Frankenheimer
40000000.0,Horror,1683,en,13.445697,05-04-2007,62771059.0,99.0,The Reaping,5.4,205,Stephen Hopkins
40000000.0,Horror Thriller,9544,en,6.756886,09-08-2002,18902015.0,101.0,FearDotCom,3.2,105,William Malone
33000000.0,Action Horror Mystery Science-Fiction Thriller,19898,en,28.353517,08-09-2009,20645327.0,108.0,Pandorum,6.5,774,Christian Alvart
38000000.0,Horror Mystery Thriller,622,en,30.359164,24-08-1999,58401898.0,133.0,The Ninth Gate,6.3,756,Roman Polanski
15000000.0,Horror Mystery Science-Fiction,1091,en,52.731379,25-06-1982,19629760.0,109.0,The Thing,7.8,1588,John Carpenter
37000000.0,Drama Thriller Horror,48171,en,11.492474,28-01-2011,96047633.0,114.0,The Rite,5.8,556,Mikael H\u00e5fstr\u00f6m
35000000.0,Science-Fiction Horror Action,9348,en,23.607071,07-07-1995,113374103.0,108.0,Species,5.5,453,Roger Donaldson
1800000.0,Horror,377,en,38.204158,14-11-1984,25504513.0,91.0,A Nightmare on Elm Street,7.2,1180,Wes Craven
33000000.0,Horror Science-Fiction Thriller,8843,en,25.413955,17-08-2000,104155843.0,107.0,The Cell,6.0,436,Tarsem Singh
33000000.0,Horror Action Science-Fiction,1576,en,40.715623,15-03-2002,102984862.0,100.0,Resident Evil,6.4,2065,Paul W.S. Anderson
10700000.0,Horror,609,en,36.230204,04-06-1982,122200000.0,114.0,Poltergeist,7.0,794,Tobe Hooper
40000000.0,Horror,10066,en,17.157738,30-04-2005,68766121.0,113.0,House of Wax,5.5,677,Jaume Collet-Serra
35000000.0,Horror Mystery Thriller,13515,en,19.774543,15-08-2008,72436439.0,110.0,Mirrors,6.0,485,Alexandre Aja
35000000.0,Drama Fantasy Horror,11979,en,11.644243,10-02-2002,45479110.0,101.0,Queen of the Damned,5.4,239,Michael Rymer
35000000.0,Horror Comedy,10012,en,11.195593,25-02-2005,19294901.0,97.0,Cursed,5.1,167,Wes Craven
35000000.0,Drama Fantasy Horror Mystery Romance,9616,en,3.746806,05-09-2003,11560806.0,102.0,The Order,4.8,91,Brian Helgeland
30000000.0,Horror Action Thriller Science-Fiction,71469,en,23.328823,22-12-2011,64626786.0,89.0,The Darkest Hour,4.8,469,Chris Gorak
33000000.0,Action Crime Horror Thriller,326,en,19.642328,06-08-2006,62022014.0,105.0,Snakes on a Plane,5.1,497,David R. Ellis
29000000.0,Horror,10307,en,14.993169,10-09-1999,50041732.0,103.0,Stigmata,6.0,242,Rupert Wainwright
70000000.0,Fantasy Drama Horror Action Thriller,10253,ko,4.822033,08-02-2007,53587404.0,90.0,Dragon Wars: D-War,4.0,104,Shim Hyung-Rae
31000000.0,Comedy Horror,6488,en,15.895661,09-08-1990,53208180.0,103.0,Arachnophobia,6.2,433,Frank Marshall
30000000.0,Horror Comedy Fantasy,2907,en,37.179547,22-11-1991,191502426.0,99.0,The Addams Family,6.7,848,Barry Sonnenfeld
