budget,genres,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,director
250000000.0,Action Crime Drama Thriller,49026,en,112.31295,16-07-2012,1084939099.0,165.0,The Dark Knight Rises,7.6,9106,Christopher Nolan
200000000.0,Adventure Action Thriller Crime,10764,en,107.928811,30-10-2008,586090727.0,106.0,Quantum of Solace,6.1,2965,Marc Forster
200000000.0,Drama Romance Thriller,597,en,100.025899,18-11-1997,1845034188.0,194.0,Titanic,7.5,7562,James Cameron
209000000.0,Thriller Action Adventure Science-Fiction,44833,en,64.928382,11-04-2012,303025485.0,131.0,Battleship,5.5,2114,Peter Berg
150000000.0,Action Adventure Science-Fiction Thriller,135397,en,418.708552,09-06-2015,1513528810.0,124.0,Jurassic World,6.5,8662,
200000000.0,Action Adventure Thriller,37724,en,93.004993,25-10-2012,1108561013.0,143.0,Skyfall,6.9,7604,Sam Mendes
210000000.0,Adventure Action Science-Fiction Thriller,36668,en,3.857526,24-05-2006,459359555.0,104.0,X-Men: The Last Stand,6.3,3525,Brett Ratner
200000000.0,Adventure Action Thriller Science-Fiction,44912,en,51.872839,16-06-2011,219851172.0,114.0,Green Lantern,5.1,2487,Martin Campbell
200000000.0,Action Science-Fiction Thriller,534,en,71.862892,20-05-2009,371353001.0,115.0,Terminator Salvation,5.9,2463,McG
200000000.0,Action Drama Horror Science-Fiction Thriller,72190,en,81.834855,20-06-2013,531865000.0,116.0,World War Z,6.7,5560,Marc Forster
140000000.0,Action Comedy Crime Thriller,5174,en,22.57178,08-08-2007,258022233.0,91.0,Rush Hour 3,6.1,783,Brett Ratner
185000000.0,Drama Action Crime Thriller,155,en,187.322927,16-07-2008,1004558444.0,152.0,The Dark Knight,8.2,12002,Christopher Nolan
175000000.0,Adventure Action Thriller Science-Fiction,14869,en,32.852443,04-08-2009,302469017.0,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,Stephen Sommers
170000000.0,Science-Fiction Action Drama Thriller,119450,en,243.791743,26-06-2014,710644566.0,130.0,Dawn of the Planet of the Apes,7.3,4410,Matt Reeves
200000000.0,Action Thriller Science-Fiction,296,en,69.405188,02-07-2003,435000000.0,109.0,Terminator 3: Rise of the Machines,5.9,2143,Jonathan Mostow
160000000.0,Action Thriller Science-Fiction Mystery Adventure,27205,en,167.58371,14-07-2010,825532764.0,148.0,Inception,8.1,13752,Christopher Nolan
15000000.0,Action Adventure Drama Horror Science-Fiction,315011,ja,9.476999,29-07-2016,77000000.0,120.0,Shin Godzilla,6.5,143,Hideaki Anno
38000000.0,Action Crime Thriller,9799,en,6.909942,22-06-2001,207283925.0,106.0,The Fast and the Furious,6.6,3428,Rob Cohen
150000000.0,Fantasy Drama Thriller Mystery Romance,4922,en,60.269279,24-11-2008,333932083.0,166.0,The Curious Case of Benjamin Button,7.3,3292,David Fincher
160000000.0,Adventure Action Drama Thriller,503,en,21.133748,12-05-2006,181674817.0,99.0,Poseidon,5.5,583,Wolfgang Petersen
155000000.0,Science-Fiction Action Thriller Adventure,87101,en,202.042635,23-06-2015,440603537.0,126.0,Terminator Genisys,5.8,3631,Alan Taylor
150000000.0,Drama Horror Action Thriller Science-Fiction,6479,en,70.867401,14-12-2007,585349010.0,101.0,I Am Legend,6.9,4853,Francis Lawrence
150000000.0,Adventure Action Thriller Science-Fiction,2080,en,5.954334,28-04-2009,373062864.0,107.0,X-Men Origins: Wolverine,6.2,4021,Gavin Hood
150000000.0,Adventure Action Thriller Science-Fiction,605,en,73.313918,05-11-2003,424988211.0,129.0,The Matrix Revolutions,6.4,3096,Lilly Wachowski
150000000.0,Adventure Action Thriller Science-Fiction,604,en,70.78591,15-05-2003,738599701.0,138.0,The Matrix Reloaded,6.7,3443,Lilly Wachowski
150000000.0,Action Adventure Science-Fiction Thriller,76341,en,434.278564,13-05-2015,378858340.0,120.0,Mad Max: Fury Road,7.2,9427,George Miller
150000000.0,Thriller Mystery,13448,en,67.447636,13-05-2009,356613439.0,138.0,Angels & Demons,6.5,2129,Ron Howard
150000000.0,Action Adventure Thriller,177677,en,114.522237,23-07-2015,682330139.0,131.0,Mission: Impossible - Rogue Nation,7.1,3224,Christopher McQuarrie
150000000.0,Adventure Action Thriller,956,en,63.079003,03-05-2006,397850012.0,126.0,Mission: Impossible III,6.5,2028,J.J. Abrams
150000000.0,Action Drama Thriller,117251,en,39.004588,27-06-2013,205366737.0,131.0,White House Down,6.4,1891,Roland Emmerich
140000000.0,Adventure Action Thriller,36669,en,54.159392,17-11-2002,431971116.0,133.0,Die Another Day,5.8,1092,Lee Tamahori
140000000.0,Action Thriller Science-Fiction Adventure,95,en,58.485967,01-07-1998,553799566.0,151.0,Armageddon,6.4,2482,Michael Bay
145000000.0,Action Thriller Adventure,56292,en,77.77477,07-12-2011,694713380.0,133.0,Mission: Impossible - Ghost Protocol,6.8,3972,Brad Bird
140000000.0,Action Adventure Comedy Crime Thriller,944,en,24.855701,10-07-1998,285444603.0,127.0,Lethal Weapon 4,6.3,767,Richard Donner
130000000.0,Adventure Action Science-Fiction Thriller,72559,en,59.325589,26-03-2013,371876278.0,110.0,G.I. Joe: Retaliation,5.4,3025,Jon M. Chu
135000000.0,Adventure Action Thriller,36643,en,39.604363,08-11-1999,361832400.0,128.0,The World Is Not Enough,6.0,862,Michael Apted
135000000.0,Western Drama Adventure Thriller,281957,en,100.635882,25-12-2015,532950503.0,156.0,The Revenant,7.3,6396,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
70000000.0,Action Drama Mystery Thriller,2503,en,45.381501,03-08-2007,442824138.0,115.0,The Bourne Ultimatum,7.3,2888,Paul Greengrass
132000000.0,Adventure Thriller Science-Fiction,74,en,48.572726,28-06-2005,591739379.0,116.0,War of the Worlds,6.2,2322,Steven Spielberg
130000000.0,Adventure Action Comedy Thriller Crime,8961,en,38.068736,18-07-2003,273339556.0,147.0,Bad Boys II,6.3,1564,Michael Bay
110000000.0,Action Mystery Thriller,27576,en,48.829437,21-07-2010,293329073.0,100.0,Salt,6.2,2093,Phillip Noyce
125000000.0,Science-Fiction Adventure Thriller,131631,en,206.227151,18-11-2014,752100229.0,123.0,The Hunger Games: Mockingjay - Part 1,6.6,5584,Francis Lawrence
125000000.0,Thriller Mystery,591,en,45.313197,17-05-2006,767820459.0,149.0,The Da Vinci Code,6.5,2704,Ron Howard
110000000.0,Adventure Action Science-Fiction Thriller,36658,en,2.871739,24-04-2003,407711549.0,133.0,X2,6.8,3506,Bryan Singer
125000000.0,Action Thriller Crime,51497,en,7.255718,20-04-2011,626137675.0,130.0,Fast Five,7.1,2438,Justin Lin
130000000.0,Action Thriller,49040,en,90.33681,08-08-2012,276572938.0,120.0,The Bourne Legacy,6.0,2651,Tony Gilroy
125000000.0,Action Adventure Science-Fiction Thriller,435,en,41.380094,26-05-2004,544272402.0,124.0,The Day After Tomorrow,6.2,2392,
